row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_game_features,"Comprehensive player-game feature table: one row per player per game. Box score actuals, trailing rolling averages, and the player's team's rest/travel context that game.",NA,player_game_logs; team_game_features,NA,NA,NA
2,season_id,"hoopR's raw season identifier (e.g. '22022'), distinct from the human-readable 'season' column.",NA,hoopR::nba_leaguegamelog(),character,identifier,safe
3,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
4,player_name,Player's full name.,NA,hoopR::nba_leaguegamelog(),character,metadata,safe (metadata only)
5,team_id,Team's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
6,team_abbreviation,Team's 3-letter abbreviation (e.g. 'LAL').,NA,hoopR API,character,metadata,safe (metadata only)
7,team_name,Team's full name.,NA,hoopR API,character,metadata,safe (metadata only)
8,game_id_nba,NBA Stats API's canonical game identifier.,NA,hoopR API,character,identifier,safe
9,game_date,Calendar date the game was/will be played.,NA,hoopR API,Date,identifier,safe
10,matchup,"Human-readable matchup string, e.g. 'LAL vs. BOS' or 'LAL @ BOS'.",NA,hoopR::nba_leaguegamelog(),character,metadata,safe (metadata only)
11,wl,Win ('W') or loss ('L') for this team in this game.,NA,hoopR::nba_leaguegamelog(),character,raw_actual,UNSAFE - this game's actual outcome
12,min,Actual minutes played recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
13,fgm,Actual field goals made recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
14,fga,Actual field goals attempted recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
15,fg_pct,Actual field goal percentage recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
16,fg3m,Actual 3-pointers made recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
17,fg3a,Actual 3-pointers attempted recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
18,fg3_pct,Actual 3-point percentage recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
19,ftm,Actual free throws made recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
20,fta,Actual free throws attempted recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
21,ft_pct,Actual free throw percentage recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
22,oreb,Actual offensive rebounds recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
23,dreb,Actual defensive rebounds recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
24,reb,Actual total rebounds recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
25,ast,Actual assists recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
26,stl,Actual steals recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
27,blk,Actual blocks recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
28,tov,Actual turnovers recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
29,pf,Actual personal fouls recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
30,pts,Actual points scored recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
31,plus_minus,Actual plus/minus recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
32,fantasy_pts,Actual NBA Stats fantasy points scored in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,UNSAFE - this game's actual result
33,video_available,"Whether NBA.com has video available for this game (metadata flag, not a performance stat).",NA,hoopR::nba_leaguegamelog(),numeric,metadata,safe (metadata only)
34,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
35,pts_roll5,This team's own trailing 5-game average of points scored.,"Trailing mean of pts over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.pts,numeric,own_rolling,safe (known pre-game)
36,reb_roll5,This team's own trailing 5-game average of total rebounds.,"Trailing mean of reb over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.reb,numeric,own_rolling,safe (known pre-game)
37,oreb_roll5,This team's own trailing 5-game average of offensive rebounds.,"Trailing mean of oreb over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.oreb,numeric,own_rolling,safe (known pre-game)
38,dreb_roll5,This team's own trailing 5-game average of defensive rebounds.,"Trailing mean of dreb over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.dreb,numeric,own_rolling,safe (known pre-game)
39,ast_roll5,This team's own trailing 5-game average of assists.,"Trailing mean of ast over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.ast,numeric,own_rolling,safe (known pre-game)
40,stl_roll5,This team's own trailing 5-game average of steals.,"Trailing mean of stl over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.stl,numeric,own_rolling,safe (known pre-game)
41,blk_roll5,This team's own trailing 5-game average of blocks.,"Trailing mean of blk over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.blk,numeric,own_rolling,safe (known pre-game)
42,tov_roll5,This team's own trailing 5-game average of turnovers.,"Trailing mean of tov over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.tov,numeric,own_rolling,safe (known pre-game)
43,plus_minus_roll5,This team's own trailing 5-game average of plus/minus.,"Trailing mean of plus_minus over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.plus_minus,numeric,own_rolling,safe (known pre-game)
44,fg_pct_roll5,This team's own trailing 5-game average of field goal percentage.,"Trailing mean of fg_pct over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.fg_pct,numeric,own_rolling,safe (known pre-game)
45,fg3_pct_roll5,This team's own trailing 5-game average of 3-point percentage.,"Trailing mean of fg3_pct over the prior 5 games (current game excluded), via add_rolling_stats() in R/features_rolling.R.",team_game_logs.fg3_pct,numeric,own_rolling,safe (known pre-game)
